date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:14	23174/23174	---M--	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202025%2001:30:13%20GMT	https://redepidemic.mobirisesite.com/	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index.html	(from )
20:30:14	207/207	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jan%202025%2001:30:13%20GMT	https://redepidemic.mobirisesite.com/robots.txt		(from )
20:30:14	3649/3649	---M--	200	added ('OK')	image/png	etag:%22a3a3df4cf8239e69a118945d8edb3cad%22	https://r.mobirisesite.com/1103648/assets/images/image-128x133.png?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/image-128x133ed09.png	(from https://redepidemic.mobirisesite.com/)
20:30:14	8719/8719	---MCZ	200	added ('OK')	text/css	etag:W/%22de94d5403c55d82c656b75faadf1a7d3%22	https://r.mobirisesite.com/1103648/assets/web/assets/mobirise-icons2/mobirise2.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://redepidemic.mobirisesite.com/)
20:30:15	155585/155585	---MCZ	200	added ('OK')	text/css	etag:W/%22a868817cc1196143d0f062547aa8a967%22	https://r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap.min.css	(from https://redepidemic.mobirisesite.com/)
20:30:15	51452/51452	---MCZ	200	added ('OK')	text/css	etag:W/%22e1b9ee0c34dab98a647193619182adae%22	https://r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap-grid.min.css	(from https://redepidemic.mobirisesite.com/)
20:30:15	4617/4617	---MCZ	200	added ('OK')	text/css	etag:W/%22fe22eb40bccf202f876ca3d07d4c1e06%22	https://r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://redepidemic.mobirisesite.com/)
20:30:15	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://r.mobirisesite.com/1103648/assets/dropdown/css/style.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/dropdown/css/style.css	(from https://redepidemic.mobirisesite.com/)
20:30:16	15529/15529	---MCZ	200	added ('OK')	text/css	etag:W/%22683320584edd0b9d2e9ed5c011a0c445%22	https://r.mobirisesite.com/1103648/assets/socicon/css/styles.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/socicon/css/styles.css	(from https://redepidemic.mobirisesite.com/)
20:30:16	14947/14947	---MCZ	200	added ('OK')	text/css	etag:W/%223f84ed983b7ef10b504b8406864c5146%22	https://r.mobirisesite.com/1103648/assets/theme/css/style.css	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/theme/css/style.css	(from https://redepidemic.mobirisesite.com/)
20:30:16	34785/34785	---MCZ	200	added ('OK')	text/css	etag:W/%22ad3e9079ca267e29993a04d22a1a3a2f%22	https://r.mobirisesite.com/1103648/assets/mobirise/css/mbr-additional.css?v=ojU6p0	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/mobirise/css/mbr-additionalcc12.css	(from https://redepidemic.mobirisesite.com/)
20:30:16	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202025%2001:30:16%20GMT	https://redepidemic.mobirisesite.com/index.html	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index-2.html	(from https://redepidemic.mobirisesite.com/)
20:30:17	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202025%2001:30:16%20GMT	https://redepidemic.mobirisesite.com/index.html	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index-2.html	(from https://redepidemic.mobirisesite.com/)
20:30:17	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202025%2001:30:17%20GMT	https://redepidemic.mobirisesite.com/index.html	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index-2.html	(from https://redepidemic.mobirisesite.com/)
20:30:17	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202025%2001:30:17%20GMT	https://redepidemic.mobirisesite.com/index.html	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index-2.html	(from https://redepidemic.mobirisesite.com/)
20:30:17	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202025%2001:30:17%20GMT	https://redepidemic.mobirisesite.com/index.html	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/redepidemic.mobirisesite.com/index-2.html	(from https://redepidemic.mobirisesite.com/)
20:30:17	36655/36655	---M--	200	added ('OK')	image/jpeg	etag:%22422af0b5adf75de6c4e1fd49edb89d14%22	https://r.mobirisesite.com/1103648/assets/images/strep-a-500-333-500x333.jpg?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/strep-a-500-333-500x333ed09.jpg	(from https://redepidemic.mobirisesite.com/)
20:30:18	99632/99632	---M--	200	added ('OK')	image/jpeg	etag:%22338beb4e8f237f9c0c2b1fb514934087%22	https://r.mobirisesite.com/1103648/assets/images/gettyimages-97347150-926x926.jpg?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/gettyimages-97347150-926x926ed09.jpg	(from https://redepidemic.mobirisesite.com/)
20:30:18	28042/28042	---M--	200	added ('OK')	image/jpeg	etag:%222f843e99a374054340b059eda4a15d34%22	https://r.mobirisesite.com/1103648/assets/images/maryingalls-1-359x373.jpg?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/maryingalls-1-359x373ed09.jpg	(from https://redepidemic.mobirisesite.com/)
20:30:18	42182/42182	---M--	200	added ('OK')	image/jpeg	etag:%222073b606f13f8a065c2ecd7d1e8905a4%22	https://r.mobirisesite.com/1103648/assets/images/image000001-596x603.jpg?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/image000001-596x603ed09.jpg	(from https://redepidemic.mobirisesite.com/)
20:30:18	50722/50722	---M--	200	added ('OK')	image/jpeg	etag:%2288068e4c4ac70998f9982f5e33c85090%22	https://r.mobirisesite.com/1103648/assets/images/img-3338-596x795.jpeg?v=1TyB14	C:/My%20Web%20Sites/REDEPIDEMIC%20FR/r.mobirisesite.com/1103648/assets/images/img-3338-596x795ed09.jpg	(from https://redepidemic.mobirisesite.com/)
